Institute,Branch,Quota,Category,Gender,Open Rank,Close Rank
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1143,1205
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,12350,16085
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18296,21027
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2716,2760
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4151,4151
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5748,6181
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3052,3308
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4152,4152
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1443,1552
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,12658,17287
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),23604,24901
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,2769,2781
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),4476,4476
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,6201,6372
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,3382,3433
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),4651,4651
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1446,1541
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10645,13850
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),19552,21897
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2027,2277
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3637,3637
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4265,4981
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8452,8552
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2376,2645
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4031,4031
